Experiment_Code	Group	Pair	Description
DMSO_DIA_2_120min	DMSO	0	DMSO_DIA_2_120min/20220905_HFX_cy_MCF_phospho_DMSO_DIA_2_120min.raw
DMSO_DIA_3_120min	DMSO	0	DMSO_DIA_3_120min/20220905_HFX_cy_MCF_phospho_DMSO_DIA_3_120min.raw
DMSO_DIA_4_120min	DMSO	0	DMSO_DIA_4_120min/20220905_HFX_cy_MCF_phospho_DMSO_DIA_4_120min.raw
TNF_DIA_1_120min	TNF	0	TNF_DIA_1_120min/20220905_HFX_cy_MCF_phospho_TNF_DIA_1_120min.raw
TNF_DIA_3_120min	TNF	0	TNF_DIA_3_120min/20220905_HFX_cy_MCF_phospho_TNF_DIA_3_120min.raw
TNF_DIA_4_120min	TNF	0	TNF_DIA_4_120min/20220905_HFX_cy_MCF_phospho_TNF_DIA_4_120min.raw
TPCA_DIA_1_120min	TPCA	0	TPCA_DIA_1_120min/20220905_HFX_cy_MCF_phospho_TPCA_DIA_1_120min.raw
TPCA_DIA_2_120min	TPCA	0	TPCA_DIA_2_120min/20220905_HFX_cy_MCF_phospho_TPCA_DIA_2_120min.raw
TPCA_DIA_4_120min	TPCA	0	TPCA_DIA_4_120min/20220905_HFX_cy_MCF_phospho_TPCA_DIA_4_120min.raw
